frequency_hz,velocity_m_s,inside_physical_mask,peak_energy
4.514285714285730933e+01,7.812708654415321519e+01,0.000000000000000000e+00,3.407137564427660803e-01
4.542857142857159403e+01,7.320316192270352929e+01,0.000000000000000000e+00,3.656118451086525778e-01
4.571428571428587873e+01,7.167200902743449831e+01,0.000000000000000000e+00,3.537009693866434712e-01
4.600000000000017053e+01,7.323450191472232973e+01,0.000000000000000000e+00,4.256074327663856849e-01
4.628571428571445523e+01,7.708233935692479122e+01,0.000000000000000000e+00,4.278251885752871186e-01
4.657142857142873993e+01,7.985960774077911140e+01,0.000000000000000000e+00,4.124845662626139275e-01
4.685714285714302463e+01,8.151069006899689384e+01,0.000000000000000000e+00,4.286012282771284876e-01
4.714285714285731643e+01,8.203916783253565370e+01,0.000000000000000000e+00,5.105632784504799959e-01
4.742857142857160113e+01,8.215326231833878978e+01,0.000000000000000000e+00,4.952685326237222796e-01
4.771428571428588583e+01,8.227908986640383660e+01,0.000000000000000000e+00,3.803022108671500479e-01
4.800000000000017764e+01,8.131113844790048972e+01,0.000000000000000000e+00,4.666078500061630607e-01
4.828571428571446233e+01,7.804285086992194920e+01,0.000000000000000000e+00,4.218924911031118330e-01
4.857142857142874703e+01,7.505257879648164021e+01,0.000000000000000000e+00,3.552335868100148786e-01
4.885714285714303173e+01,7.422921933443394948e+01,0.000000000000000000e+00,4.263165641628059999e-01
4.914285714285732354e+01,7.337308655011688074e+01,0.000000000000000000e+00,3.601981003651864577e-01
4.942857142857160824e+01,6.872466607989265697e+01,0.000000000000000000e+00,4.305065060274776423e-01
4.971428571428589294e+01,6.534153854740742418e+01,0.000000000000000000e+00,4.219179320091077656e-01
